#TYPE Selected.Microsoft.ActiveDirectory.Management.ADObject
"name","created"
"Administrator","1/24/2020 4:15:38 PM"
"Guest","1/24/2020 4:15:38 PM"
"krbtgt","1/24/2020 4:16:43 PM"
"James Smith","3/24/2020 10:24:15 AM"
"Kelly Keen","3/24/2020 10:24:38 AM"
"Paul Towns","3/24/2020 10:24:57 AM"
"Gary Mean","3/24/2020 10:25:26 AM"
"Otto Knows","5/4/2020 2:21:14 PM"
"Bob Stand","5/21/2020 12:03:24 PM"
"Lisa Smith","5/21/2020 1:16:04 PM"
"Zack Left","5/21/2020 2:28:58 PM"
"Last One","5/22/2020 8:41:25 AM"
"Joe Jonas","5/22/2020 3:41:48 PM"
"James Yard","5/23/2020 9:48:54 AM"
"test user","5/23/2020 10:39:51 AM"
"test user1","5/23/2020 10:41:14 AM"
"me test","5/23/2020 10:43:23 AM"
"test mee","5/24/2020 3:02:39 PM"
"Jane Hand","5/24/2020 3:22:22 PM"
"Bob Mouse","5/24/2020 3:39:39 PM"
